Marca temporal,¿Qué tan interesante te pareció esta lección?,¿Qué tan claras fueron las explicaciones presentadas en la lección?,¿La cantidad de información presentada fue...?,¿En qué sección sentiste mayor dificultad?,¿Qué tan fácil fue seguir las instrucciones del notebook?,¿En algún momento no supiste qué hacer para continuar?,"Aproximadamente, ¿cuántos minutos te tomó completar la actividad?",¿Encontraste algún problema mientras ejecutabas el notebook?,"Si encontraste algún problema, descríbelo brevemente.",¿Qué ejemplo te pareció más útil para comprender cómo pueden utilizarse los datos?,¿Qué tan útiles te parecieron los ejemplos utilizados durante la lección?,¿La actividad final te ayudó a relacionar los conceptos vistos durante la lección?,¿Qué fue lo que más te gustó de esta lección?,"Si pudieras mejorar algo de esta lección, ¿qué cambiarías?",¿Hay algún comentario o sugerencia adicional?
04/08/2026 10:28:56,5,4,Adecuada,No tuve dificultades,4,Una vez,52,"Sí, una instrucción no fue clara.",No me quedó claro si podía modificar los valores del ejemplo.,Manipulación de imágenes,5,4,Las explicaciones fueron breves y claras.,Agregaría una indicación de cuánto tarda cada sección.,Todo funcionó correctamente.
04/08/2026 10:56:55,5,4,Adecuada,Datos geográficos,3,Nunca,20,No,,Actividad final,5,4,El ejemplo del ticket fue fácil de seguir.,Explicaría un poco más la diferencia entre entero y decimal.,Todo funcionó correctamente.
04/08/2026 09:16:55,5,3,Adecuada,Datos multimedia,4,Una vez,34,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Correo promocional,5,4,La manipulación de imágenes fue la parte más entretenida.,,La lección se sintió diferente a una clase tradicional.
04/08/2026 08:32:38,4,4,Adecuada,Datos multimedia,4,Nunca,48,"Sí, una instrucción no fue clara.",La instrucción para abrir la actividad final podría ser más visible.,Correo promocional,5,4,Las explicaciones fueron breves y claras.,Explicaría un poco más la diferencia entre entero y decimal.,
04/08/2026 09:29:39,4,5,Adecuada,Datos multimedia,3,Nunca,31,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Historial de chat,3,5,La actividad final permitió usar varios tipos de datos.,No cambiaría nada.,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 08:49:39,5,4,Adecuada,No tuve dificultades,4,Nunca,51,No,,Ubicación en el mapa,5,5,La ubicación en el mapa hizo la lección más interesante.,Pondría más visible qué celdas se pueden modificar.,La actividad fue sencilla de seguir.
04/08/2026 10:43:21,4,3,Adecuada,Datos de texto,4,Nunca,38,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Manipulación de imágenes,4,5,La manipulación de imágenes fue la parte más entretenida.,,Fue una buena introducción al curso.
04/08/2026 11:03:24,5,4,Adecuada,No tuve dificultades,4,Nunca,31,"Sí, una instrucción no fue clara.",No entendí al principio qué celda debía ejecutar.,Ubicación en el mapa,5,4,,Pondría más visible qué celdas se pueden modificar.,Fue una buena introducción al curso.
04/08/2026 08:36:29,3,5,Demasiada,Datos multimedia,5,Una vez,50,No,,Ubicación en el mapa,4,5,Me gustó ver que distintos tipos de datos producen resultados diferentes.,,
04/08/2026 10:06:28,5,5,Adecuada,Actividad final,5,Nunca,68,"Sí, apareció un mensaje de error.",Tuve que volver a ejecutar el notebook desde el inicio.,Manipulación de imágenes,4,5,La ubicación en el mapa hizo la lección más interesante.,,Fue una buena introducción al curso.
04/08/2026 09:43:44,5,4,Adecuada,¿Qué son los datos?,4,Nunca,43,No,,Actividad final,3,3,Me gustó ver que distintos tipos de datos producen resultados diferentes.,No cambiaría nada.,Fue una buena introducción al curso.
04/08/2026 08:06:22,2,4,Adecuada,No tuve dificultades,4,Nunca,36,"Sí, una instrucción no fue clara.",No entendí al principio qué celda debía ejecutar.,Actividad final,5,4,La ubicación en el mapa hizo la lección más interesante.,,
04/08/2026 09:48:46,5,5,Adecuada,Datos de fecha y hora,4,Nunca,47,No,,Ticket de compra,4,5,Me gustó ver que distintos tipos de datos producen resultados diferentes.,,
04/08/2026 09:11:24,5,5,Adecuada,Datos multimedia,4,Una vez,54,No,,Ubicación en el mapa,5,3,La actividad final permitió usar varios tipos de datos.,Haría más corta la sección de imágenes.,
04/08/2026 10:51:02,4,5,Adecuada,Datos de fecha y hora,5,Nunca,47,No,,Actividad final,4,5,Los ejemplos se relacionaban con situaciones reales.,Haría más corta la sección de imágenes.,Fue una buena introducción al curso.
04/08/2026 08:34:49,5,4,Adecuada,¿Qué son los datos?,3,Varias veces,46,No,,Correo promocional,4,4,Me gustó ver que distintos tipos de datos producen resultados diferentes.,Explicaría un poco más la diferencia entre entero y decimal.,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 10:38:51,4,5,Adecuada,Datos multimedia,4,Varias veces,51,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Ticket de compra,5,5,La manipulación de imágenes fue la parte más entretenida.,,La actividad fue sencilla de seguir.
04/08/2026 10:02:45,4,4,Adecuada,Datos numéricos,4,Una vez,62,"Sí, apareció un mensaje de error.",La imagen no cargó en el primer intento.,Ubicación en el mapa,4,5,Me gustó ver que distintos tipos de datos producen resultados diferentes.,Pondría más visible qué celdas se pueden modificar.,Todo funcionó correctamente.
04/08/2026 10:00:15,5,5,Adecuada,Datos geográficos,4,Nunca,26,No,,Actividad final,5,3,,Agregaría una indicación de cuánto tarda cada sección.,
04/08/2026 10:17:12,4,4,Adecuada,¿Qué son los datos?,4,Nunca,53,No,,Manipulación de imágenes,5,4,La manipulación de imágenes fue la parte más entretenida.,Haría más corta la sección de imágenes.,
04/08/2026 10:20:22,4,5,Adecuada,Datos de texto,4,Una vez,53,No,,Historial de chat,4,4,Las explicaciones fueron breves y claras.,No cambiaría nada.,
04/08/2026 10:35:48,4,4,Adecuada,No tuve dificultades,5,Nunca,50,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Correo promocional,5,4,La ubicación en el mapa hizo la lección más interesante.,Agregaría un ejemplo adicional con audio.,Fue una buena introducción al curso.
04/08/2026 10:07:28,4,4,Adecuada,Datos de fecha y hora,3,Nunca,55,"Sí, una instrucción no fue clara.",No sabía si debía esperar a que terminara de cargar la imagen.,Ticket de compra,1,4,La actividad final permitió usar varios tipos de datos.,Haría más corta la sección de imágenes.,La actividad fue sencilla de seguir.
04/08/2026 08:26:15,4,5,Adecuada,No tuve dificultades,4,Nunca,49,No,,Ticket de compra,5,5,La manipulación de imágenes fue la parte más entretenida.,Agregaría una indicación de cuánto tarda cada sección.,
04/08/2026 08:58:40,4,5,Adecuada,Datos numéricos,4,Nunca,70,No,,Manipulación de imágenes,4,5,El ejemplo del ticket fue fácil de seguir.,Explicaría un poco más la diferencia entre entero y decimal.,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 10:01:04,3,3,Muy poca,No tuve dificultades,4,Nunca,18,No,,Correo promocional,5,5,El ejemplo del ticket fue fácil de seguir.,Explicaría un poco más la diferencia entre entero y decimal.,Fue una buena introducción al curso.
04/08/2026 09:48:17,4,4,Adecuada,Datos multimedia,5,Nunca,51,"Sí, apareció un mensaje de error.",La ruta del archivo no se encontró.,Ubicación en el mapa,4,4,,Pondría más visible qué celdas se pueden modificar.,Me gustaría ver más ejemplos de datos en aplicaciones reales.
04/08/2026 10:57:52,4,5,Adecuada,Datos de texto,2,Nunca,55,No,,Actividad final,4,2,La ubicación en el mapa hizo la lección más interesante.,Agregaría una indicación de cuánto tarda cada sección.,La actividad fue sencilla de seguir.
04/08/2026 08:46:21,5,3,Adecuada,No tuve dificultades,4,Varias veces,23,"Sí, otro.",Tuve problemas con la conexión a Internet.,Historial de chat,4,5,Las explicaciones fueron breves y claras.,No cambiaría nada.,
04/08/2026 08:05:42,4,5,Adecuada,Datos numéricos,4,Nunca,54,No,,Actividad final,4,4,,Pondría más visible qué celdas se pueden modificar.,La actividad fue sencilla de seguir.
04/08/2026 10:40:51,3,4,Adecuada,Datos de texto,5,Nunca,18,No,,Manipulación de imágenes,3,5,El ejemplo del ticket fue fácil de seguir.,No cambiaría nada.,Todo funcionó correctamente.
04/08/2026 09:14:26,4,1,Adecuada,No tuve dificultades,5,Nunca,36,"Sí, una instrucción no fue clara.",No me quedó claro si podía modificar los valores del ejemplo.,Ubicación en el mapa,5,4,,Pondría más visible qué celdas se pueden modificar.,Fue una buena introducción al curso.
04/08/2026 09:17:46,4,3,Adecuada,Datos de texto,5,Nunca,65,"Sí, una instrucción no fue clara.",La instrucción para abrir la actividad final podría ser más visible.,Actividad final,4,5,La ubicación en el mapa hizo la lección más interesante.,,
04/08/2026 09:50:02,5,4,Adecuada,No tuve dificultades,5,Nunca,55,"Sí, una instrucción no fue clara.",No me quedó claro si podía modificar los valores del ejemplo.,Actividad final,4,4,La actividad final permitió usar varios tipos de datos.,No cambiaría nada.,
04/08/2026 09:57:06,5,5,Adecuada,Datos de fecha y hora,5,Varias veces,41,No,,Manipulación de imágenes,5,5,,Agregaría un ejemplo adicional con audio.,Todo funcionó correctamente.
04/08/2026 10:21:24,4,4,Adecuada,¿Qué son los datos?,5,Nunca,45,No,,Manipulación de imágenes,5,5,La actividad final permitió usar varios tipos de datos.,No cambiaría nada.,
04/08/2026 11:02:19,5,2,Muy poca,Datos de texto,5,Varias veces,45,No,,Manipulación de imágenes,5,4,Los ejemplos se relacionaban con situaciones reales.,Agregaría un ejemplo adicional con audio.,
04/08/2026 10:59:15,5,4,Adecuada,No tuve dificultades,4,Nunca,31,"Sí, apareció un mensaje de error.",Apareció un error al ejecutar la celda de ubicación.,Correo promocional,4,4,,Agregaría una indicación de cuánto tarda cada sección.,Todo funcionó correctamente.
04/08/2026 09:53:44,3,4,Adecuada,Datos de fecha y hora,5,Nunca,41,No,,Actividad final,5,4,La ubicación en el mapa hizo la lección más interesante.,Pondría más visible qué celdas se pueden modificar.,La lección se sintió diferente a una clase tradicional.
04/08/2026 08:07:36,3,4,Adecuada,No tuve dificultades,4,Nunca,61,"Sí, otro.",No se mostraba completa una salida en la pantalla.,Ticket de compra,5,4,Los ejemplos se relacionaban con situaciones reales.,Agregaría una indicación de cuánto tarda cada sección.,
